               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  80,              1.3165,             0.82489,              1.4532,             0.68691,             0.67803,             0.68838,             0.42703,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.3162,             0.82065,              1.4587,             0.67188,             0.68877,             0.68621,             0.42472,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.3027,             0.80826,              1.4416,             0.67388,             0.68383,             0.68685,             0.42807,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.3194,             0.82613,              1.4505,             0.68845,             0.66257,             0.68287,             0.42389,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.2956,             0.83184,              1.4498,             0.67535,              0.6935,             0.69095,             0.42869,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.2992,             0.81571,              1.4451,             0.66558,             0.69621,             0.68946,             0.42831,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.2877,             0.80333,              1.4425,             0.68202,             0.67934,             0.68401,             0.42656,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.2913,              0.8241,              1.4642,             0.68441,             0.66334,             0.68211,             0.42622,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,                1.28,              0.8014,              1.4388,             0.69408,             0.67344,             0.69216,              0.4317,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.2993,             0.81632,              1.4482,             0.67838,             0.68919,             0.69183,             0.42777,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.2564,             0.78947,              1.4225,             0.66574,             0.69248,             0.69011,             0.42958,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.2686,             0.79248,              1.4245,              0.6613,             0.68924,              0.6891,             0.42876,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.2758,             0.80644,              1.4355,             0.69081,             0.67961,             0.69062,             0.43133,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.2866,             0.80971,               1.436,             0.67812,             0.69391,             0.68997,              0.4288,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.2601,               0.782,              1.4139,             0.66658,             0.68799,             0.69038,             0.42901,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.2537,             0.78968,              1.4204,             0.68486,             0.67845,             0.68775,             0.43182,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.2515,             0.78469,              1.4141,             0.67098,             0.69425,             0.68907,               0.429,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.2482,             0.78568,              1.4226,             0.66991,             0.69469,             0.68993,             0.43101,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.2625,             0.80353,              1.4105,             0.68889,             0.68075,             0.68923,             0.43062,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.2416,             0.77758,              1.4155,             0.68727,             0.67962,             0.69171,             0.43367,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
